"","passed_upper","passed_lower","last","signed","first","bill_id"
"1","2017-05-23 00:00:00","2017-05-12 00:00:00","2017-06-15 00:00:00","2017-06-15 00:00:00","2016-11-14 00:00:00","HB 245"
"2","2017-05-23 00:00:00","2017-05-08 00:00:00","2017-06-15 00:00:00","2017-06-15 00:00:00","2016-11-14 00:00:00","HB 150"
"3","2017-05-23 00:00:00","2017-05-05 00:00:00","2017-06-15 00:00:00","2017-06-15 00:00:00","2016-12-13 00:00:00","HB 590"
"4","2017-05-23 00:00:00","2017-05-03 00:00:00","2017-06-15 00:00:00","2017-06-15 00:00:00","2016-12-21 00:00:00","HB 681"
"5","2017-05-24 00:00:00","2017-05-04 00:00:00","2017-06-15 00:00:00","2017-06-15 00:00:00","2016-12-05 00:00:00","HB 492"
"6","2017-05-24 00:00:00","2017-04-13 00:00:00","2017-06-15 00:00:00","2017-06-15 00:00:00","2016-11-29 00:00:00","HB 457"
"7","2017-05-24 00:00:00","2017-05-06 00:00:00","2017-06-15 00:00:00","2017-06-15 00:00:00","2016-12-09 00:00:00","HB 553"
"8","2017-05-24 00:00:00","2017-05-04 00:00:00","2017-06-15 00:00:00","2017-06-15 00:00:00","2016-11-14 00:00:00","HCR 27"
"9","2017-05-24 00:00:00","2017-05-11 00:00:00","2017-06-15 00:00:00","2017-06-15 00:00:00","2016-11-14 00:00:00","HB 162"
"10","2017-05-24 00:00:00","2017-05-04 00:00:00","2017-06-15 00:00:00","2017-06-15 00:00:00","2016-11-22 00:00:00","HB 441"
"11","2017-05-23 00:00:00","2017-05-02 00:00:00","2017-06-15 00:00:00","0","2016-11-14 00:00:00","HB 61"
"12","2017-05-24 00:00:00","2017-05-04 00:00:00","2017-06-15 00:00:00","2017-06-15 00:00:00","2016-11-14 00:00:00","HB 210"
"13","2017-05-23 00:00:00","2017-04-28 00:00:00","2017-06-15 00:00:00","0","2016-11-14 00:00:00","HB 298"
"14","2017-05-22 00:00:00","2017-04-25 00:00:00","2017-06-15 00:00:00","2017-06-15 00:00:00","2016-12-05 00:00:00","HB 490"
"15","2017-05-24 00:00:00","2017-04-27 00:00:00","2017-06-15 00:00:00","2017-06-15 00:00:00","2016-11-14 00:00:00","HB 240"
"16","2017-05-19 00:00:00","2017-04-06 00:00:00","2017-06-15 00:00:00","2017-06-15 00:00:00","2016-12-21 00:00:00","HB 678"
"17","2017-05-24 00:00:00","2017-05-03 00:00:00","2017-06-15 00:00:00","2017-06-15 00:00:00","2016-11-21 00:00:00","HB 435"
"18","2017-05-24 00:00:00","2017-04-20 00:00:00","2017-06-15 00:00:00","2017-06-15 00:00:00","2016-12-27 00:00:00","HB 755"
"19","2017-05-25 00:00:00","2017-03-29 00:00:00","2017-06-15 00:00:00","2017-06-15 00:00:00","2016-11-16 00:00:00","HB 377"
