"","bill_id","pct_repub","num_sponsors","signed"
"1","HB 1",1,1,0
"2","HB 10",0.294117647058824,17,1
"3","HB 100",0.857142857142857,70,1
"4","HB 1001",0.25,4,1
"5","HB 1002",0,1,0
"6","HB 1003",0.833333333333333,6,1
"7","HB 1004",0.866666666666667,15,0
"8","HB 1005",0,17,0
"9","HB 1006",0,1,0
"10","HB 1007",0,1,0
"11","HB 1008",0,1,0
"12","HB 1009",0.666666666666667,3,0
"13","HB 101",1,2,1
"14","HB 1010",0,1,0
"15","HB 1011",0,1,0
"16","HB 1012",0,1,0
"17","HB 1013",0,1,0
"18","HB 1014",0,2,0
"19","HB 1015",0,1,0
"20","HB 1016",1,1,0
"21","HB 1017",0,1,0
"22","HB 1018",0,2,0
"23","HB 1019",1,1,0
"24","HB 102",0,1,0
"25","HB 1020",0.333333333333333,3,1
"26","HB 1021",0.5,2,0
"27","HB 1022",1,1,0
"28","HB 1023",1,2,0
"29","HB 1024",0.9,20,0
"30","HB 1025",1,1,0
"31","HB 1026",0,1,0
"32","HB 1027",0,1,0
"33","HB 1028",1,1,0
"34","HB 1029",1,9,0
"35","HB 103",0,1,0
"36","HB 1031",1,1,0
"37","HB 1032",0,1,0
"38","HB 1033",1,2,0
"39","HB 1034",1,2,0
"40","HB 1035",1,1,0
"41","HB 1036",0.272727272727273,11,1
"42","HB 1037",1,5,0
"43","HB 1038",1,2,0
"44","HB 1039",0,1,0
"45","HB 104",1,1,1
"46","HB 1040",0,1,0
"47","HB 1041",0,1,0
"48","HB 1042",0,1,0
"49","HB 1043",0,2,1
"50","HB 1044",0,1,0
"51","HB 1045",1,1,0
"52","HB 1046",0,3,0
"53","HB 1047",0,1,0
"54","HB 1048",0.333333333333333,6,0
"55","HB 1049",1,1,0
"56","HB 105",1,4,0
"57","HB 1050",1,5,0
"58","HB 1051",1,1,0
"59","HB 1052",1,1,0
"60","HB 1053",1,2,0
"61","HB 1054",1,1,0
"62","HB 1055",1,2,0
"63","HB 1057",0,1,0
"64","HB 1058",1,5,0
"65","HB 1059",0.222222222222222,9,0
"66","HB 106",0,2,0
"67","HB 1060",1,1,0
"68","HB 1061",1,2,0
"69","HB 1062",1,1,0
"70","HB 1063",1,2,0
"71","HB 1064",1,5,0
"72","HB 1065",0.5,2,0
"73","HB 1066",0.5,2,1
"74","HB 1067",0.75,4,0
"75","HB 1068",1,1,0
"76","HB 1069",1,1,0
"77","HB 107",0.333333333333333,3,0
"78","HB 1070",1,7,0
"79","HB 1071",1,2,0
"80","HB 1072",1,5,0
"81","HB 1073",1,2,1
"82","HB 1074",0.333333333333333,3,0
"83","HB 1075",1,2,1
"84","HB 1076",0.666666666666667,9,1
"85","HB 1077",1,1,0
"86","HB 1078",1,1,0
"87","HB 1079",1,4,0
"88","HB 108",0.625,8,1
"89","HB 1080",0,2,0
"90","HB 1081",0,7,1
"91","HB 1082",0,1,0
"92","HB 1083",0,3,1
"93","HB 1084",1,1,0
"94","HB 1085",1,2,0
"95","HB 1086",1,2,0
"96","HB 1087",0.25,4,0
"97","HB 1089",1,1,0
"98","HB 1090",0.8,5,0
"99","HB 1091",1,1,0
"100","HB 1092",0.9,20,0
"101","HB 1093",0,1,0
"102","HB 1094",0,1,0
"103","HB 1095",1,1,0
"104","HB 1096",0.5,2,0
"105","HB 1097",0,1,0
"106","HB 1098",0,1,0
"107","HB 1099",0.4,5,1
"108","HB 11",0.333333333333333,6,0
"109","HB 110",1,8,0
"110","HB 1100",0,1,0
"111","HB 1101",0,3,1
"112","HB 1102",0,1,0
"113","HB 1103",0,2,1
"114","HB 1104",0,1,0
"115","HB 1106",0,1,1
"116","HB 1107",0.666666666666667,3,0
"117","HB 1108",1,1,0
"118","HB 1109",1,2,0
"119","HB 111",0,1,0
"120","HB 1110",1,1,0
"121","HB 1111",0,2,1
"122","HB 1112",0,1,0
"123","HB 1113",1,46,0
"124","HB 1114",1,2,0
"125","HB 1115",0,1,0
"126","HB 1116",1,2,1
"127","HB 1117",0.5,2,1
"128","HB 1118",1,2,0
"129","HB 1119",1,1,0
"130","HB 112",0,2,0
"131","HB 1120",1,1,0
"132","HB 1121",1,1,0
"133","HB 1122",1,2,0
"134","HB 1123",1,1,0
"135","HB 1124",1,8,0
"136","HB 1125",0.5,4,0
"137","HB 1126",1,1,0
"138","HB 1127",0,2,0
"139","HB 1128",1,2,1
"140","HB 113",1,8,0
"141","HB 1131",0.5,2,0
"142","HB 1132",1,1,0
"143","HB 1133",0.772727272727273,22,0
"144","HB 1134",0.333333333333333,3,0
"145","HB 1135",1,1,0
"146","HB 1136",0,1,0
"147","HB 1137",0,1,0
"148","HB 1138",0,2,0
"149","HB 1139",0,1,0
"150","HB 114",1,5,0
"151","HB 1140",0.571428571428571,7,1
"152","HB 1142",1,32,0
"153","HB 1143",1,1,0
"154","HB 1144",1,1,0
"155","HB 1146",1,1,0
"156","HB 1147",1,1,0
"157","HB 1148",1,2,0
"158","HB 1149",1,1,0
"159","HB 115",0.5,2,0
"160","HB 1150",1,1,0
"161","HB 1151",1,2,1
"162","HB 1152",1,2,0
"163","HB 1153",1,1,0
"164","HB 1154",1,1,0
"165","HB 1155",0.5,2,0
"166","HB 1156",0.558823529411765,34,0
"167","HB 1157",1,1,0
"168","HB 1158",1,1,0
"169","HB 1159",1,1,0
"170","HB 116",0.333333333333333,9,0
"171","HB 1160",1,2,0
"172","HB 1161",0.5,2,0
"173","HB 1162",0,2,1
"174","HB 1163",0,1,0
"175","HB 1164",0,1,0
"176","HB 1165",1,1,0
"177","HB 1166",0.75,4,0
"178","HB 1167",0,1,0
"179","HB 1168",0,1,0
"180","HB 1169",0.75,12,0
"181","HB 117",1,1,0
"182","HB 1170",0.666666666666667,3,1
"183","HB 1171",0,1,0
"184","HB 1172",0,1,0
"185","HB 1173",0,1,0
"186","HB 1174",0.666666666666667,3,0
"187","HB 1175",0,1,0
"188","HB 1176",0,1,0
"189","HB 1177",1,3,0
"190","HB 1178",0.666666666666667,6,1
"191","HB 1179",0.25,4,0
"192","HB 118",0,2,0
"193","HB 1180",1,1,0
"194","HB 1181",1,1,0
"195","HB 1182",1,1,0
"196","HB 1183",0.75,4,0
"197","HB 1184",1,42,0
"198","HB 1185",1,1,0
"199","HB 1186",1,2,1
"200","HB 1187",1,2,1
"201","HB 1188",0.75,4,0
"202","HB 1189",1,1,0
"203","HB 119",1,1,0
"204","HB 1190",1,2,0
"205","HB 1191",1,1,0
"206","HB 1192",0,3,0
"207","HB 1193",0,1,0
"208","HB 1194",0.5,2,0
"209","HB 1195",1,14,0
"210","HB 1196",1,1,0
"211","HB 1197",1,2,1
"212","HB 1198",0,1,0
"213","HB 1199",0,1,0
"214","HB 12",0.222222222222222,9,0
"215","HB 120",0.666666666666667,3,0
"216","HB 1200",1,1,0
"217","HB 1201",0.5,4,0
"218","HB 1202",0,1,0
"219","HB 1203",0,1,0
"220","HB 1204",0,4,1
"221","HB 1206",1,1,0
"222","HB 1207",1,2,0
"223","HB 1208",1,2,0
"224","HB 1209",1,1,0
"225","HB 121",1,2,0
"226","HB 1210",1,1,0
"227","HB 1211",1,1,0
"228","HB 1212",1,1,0
"229","HB 1213",0,1,0
"230","HB 1214",0,1,0
"231","HB 1215",0,1,0
"232","HB 1216",0,2,0
"233","HB 1217",1,2,1
"234","HB 1218",0,1,0
"235","HB 1219",0,1,0
"236","HB 122",0.0909090909090909,11,0
"237","HB 1220",0,1,0
"238","HB 1221",1,2,1
"239","HB 1222",1,3,0
"240","HB 1223",0.5,2,0
"241","HB 1224",1,1,0
"242","HB 1225",0.666666666666667,3,0
"243","HB 1226",0.5,2,0
"244","HB 1227",1,2,1
"245","HB 1228",1,3,0
"246","HB 1229",0,1,0
"247","HB 1230",0,1,0
"248","HB 1231",1,1,0
"249","HB 1232",0.5,2,0
"250","HB 1234",0,2,0
"251","HB 1236",0.5,2,0
"252","HB 1237",0.666666666666667,3,0
"253","HB 1238",1,1,1
"254","HB 1239",1,1,0
"255","HB 124",1,2,0
"256","HB 1240",1,1,0
"257","HB 1241",0,2,0
"258","HB 1242",1,1,0
"259","HB 1243",1,3,0
"260","HB 1244",1,2,0
"261","HB 1245",0,5,0
"262","HB 1246",0,1,0
"263","HB 1247",0.5,2,1
"264","HB 1249",0.5,4,1
"265","HB 125",1,1,0
"266","HB 1250",1,1,0
"267","HB 1251",1,2,0
"268","HB 1252",1,1,0
"269","HB 1253",1,2,0
"270","HB 1254",1,2,1
"271","HB 1255",1,2,0
"272","HB 1256",1,2,1
"273","HB 1257",1,2,1
"274","HB 1258",0.738095238095238,42,0
"275","HB 1259",0.5,2,0
"276","HB 126",0.5,2,0
"277","HB 1260",1,3,1
"278","HB 1261",0,2,0
"279","HB 1262",1,1,0
"280","HB 1263",1,1,0
"281","HB 1264",1,3,1
"282","HB 1265",1,2,0
"283","HB 1266",1,2,1
"284","HB 1267",1,22,0
"285","HB 1268",1,1,0
"286","HB 1269",1,4,0
"287","HB 127",1,1,0
"288","HB 1270",0.833333333333333,6,0
"289","HB 1271",0.888888888888889,9,0
"290","HB 1272",1,1,0
"291","HB 1273",1,1,0
"292","HB 1274",0,2,0
"293","HB 1275",0,1,0
"294","HB 1276",0,2,0
"295","HB 1277",0,1,0
"296","HB 1278",0,1,1
"297","HB 1279",1,1,0
"298","HB 128",0,1,0
"299","HB 1280",0,1,0
"300","HB 1281",0,1,0
"301","HB 1282",1,2,0
"302","HB 1283",1,1,0
"303","HB 1284",0,2,0
"304","HB 1285",0,1,0
"305","HB 1286",0,1,0
"306","HB 1287",0,1,0
"307","HB 1288",0,2,1
"308","HB 1289",1,1,0
"309","HB 129",1,2,1
"310","HB 1290",1,29,1
"311","HB 1291",1,12,0
"312","HB 1292",0.5,2,0
"313","HB 1293",0,1,0
"314","HB 1294",0.375,8,0
"315","HB 1295",1,1,0
"316","HB 1296",0.888888888888889,9,1
"317","HB 1297",1,1,0
"318","HB 1298",1,2,1
"319","HB 1299",1,1,0
"320","HB 13",0.444444444444444,9,1
"321","HB 130",0,1,0
"322","HB 1300",0.666666666666667,3,0
"323","HB 1301",0,1,0
"324","HB 1302",1,1,0
"325","HB 1303",1,2,1
"326","HB 1304",0,1,0
"327","HB 1305",1,1,0
"328","HB 1306",1,1,0
"329","HB 1307",0,1,0
"330","HB 1308",1,2,0
"331","HB 1309",1,1,0
"332","HB 131",1,7,0
"333","HB 1310",1,1,0
"334","HB 1311",1,3,0
"335","HB 1312",0.888888888888889,9,0
"336","HB 1313",1,1,0
"337","HB 1314",0,2,0
"338","HB 1315",1,2,0
"339","HB 1316",1,1,0
"340","HB 1317",1,2,1
"341","HB 1319",1,1,0
"342","HB 132",0,7,0
"343","HB 1320",1,1,0
"344","HB 1321",1,1,0
"345","HB 1322",1,1,0
"346","HB 1323",0.888888888888889,9,0
"347","HB 1324",0.5,4,0
"348","HB 1325",0,1,0
"349","HB 1326",0,2,0
"350","HB 1327",1,1,0
"351","HB 1328",0,1,0
"352","HB 1329",1,1,0
"353","HB 133",0.4,5,0
"354","HB 1330",1,1,0
"355","HB 1331",1,2,0
"356","HB 1332",0.5,2,0
"357","HB 1333",0.9,30,0
"358","HB 1334",1,1,0
"359","HB 1335",1,10,0
"360","HB 1336",0.5,4,0
"361","HB 1337",1,1,0
"362","HB 1338",1,1,0
"363","HB 1339",1,2,0
"364","HB 134",0,1,0
"365","HB 1342",0.75,4,0
"366","HB 1343",0.666666666666667,3,0
"367","HB 1344",1,18,0
"368","HB 1345",1,2,1
"369","HB 1346",0.8,5,1
"370","HB 1347",1,1,0
"371","HB 1348",0.875,16,0
"372","HB 1349",1,1,0
"373","HB 135",1,3,0
"374","HB 1350",0.25,8,0
"375","HB 1351",1,2,0
"376","HB 1352",0,4,0
"377","HB 1353",1,1,0
"378","HB 1354",1,1,0
"379","HB 1355",1,2,1
"380","HB 1356",1,1,0
"381","HB 1357",0.4,5,0
"382","HB 1358",1,1,0
"383","HB 1359",1,6,0
"384","HB 136",0.615384615384615,13,1
"385","HB 1360",1,1,0
"386","HB 1361",1,2,0
"387","HB 1362",1,14,0
"388","HB 1363",1,1,0
"389","HB 1364",0,1,0
"390","HB 1366",1,2,0
"391","HB 1367",1,1,0
"392","HB 1368",0.25,4,0
"393","HB 1369",0.5,2,0
"394","HB 137",0,1,0
"395","HB 1370",1,1,0
"396","HB 1371",1,1,0
"397","HB 1372",1,4,1
"398","HB 1373",0.75,4,0
"399","HB 1374",0,1,0
"400","HB 1375",1,4,0
"401","HB 1376",0.5,2,0
"402","HB 1377",1,1,0
"403","HB 1378",1,2,0
"404","HB 1379",1,2,0
"405","HB 138",1,1,0
"406","HB 1380",1,1,0
"407","HB 1381",1,1,0
"408","HB 1382",1,1,0
"409","HB 1383",0,1,0
"410","HB 1384",1,2,0
"411","HB 1386",0,1,0
"412","HB 1387",1,1,0
"413","HB 1388",0,1,0
"414","HB 1389",0,1,0
"415","HB 139",1,2,0
"416","HB 1390",0.935483870967742,31,0
"417","HB 1391",1,3,0
"418","HB 1392",0,1,0
"419","HB 1393",0,1,0
"420","HB 1394",0,1,0
"421","HB 1395",0,1,0
"422","HB 1396",0,1,0
"423","HB 1397",1,3,0
"424","HB 1398",0,1,0
"425","HB 1399",1,1,0
"426","HB 14",1,5,0
"427","HB 140",0,1,0
"428","HB 1401",1,1,0
"429","HB 1403",1,1,0
"430","HB 1404",0,17,0
"431","HB 1405",0,1,0
"432","HB 1406",0,3,0
"433","HB 1407",0.75,8,1
"434","HB 1408",0.5,2,0
"435","HB 1409",0,1,0
"436","HB 141",0,3,0
"437","HB 1410",0.4,5,1
"438","HB 1412",0,2,0
"439","HB 1413",0,1,0
"440","HB 1414",0.0909090909090909,11,0
"441","HB 1415",0.782608695652174,23,0
"442","HB 1416",1,1,0
"443","HB 1417",0.5,2,0
"444","HB 1418",0.666666666666667,3,0
"445","HB 1419",1,1,0
"446","HB 142",0.4,5,0
"447","HB 1420",0,1,0
"448","HB 1421",0,2,0
"449","HB 1422",0,1,0
"450","HB 1423",1,1,0
"451","HB 1424",1,3,1
"452","HB 1425",1,1,0
"453","HB 1426",0.5,4,0
"454","HB 1427",1,1,0
"455","HB 1428",1,2,1
"456","HB 1429",0.333333333333333,3,0
"457","HB 143",0.08,25,0
"458","HB 1430",0,1,0
"459","HB 1431",0,3,0
"460","HB 1432",0,2,1
"461","HB 1433",0,2,0
"462","HB 1434",0.833333333333333,6,1
"463","HB 1435",0,1,0
"464","HB 1436",0,1,0
"465","HB 1437",0,1,0
"466","HB 1438",0,1,0
"467","HB 1439",1,2,0
"468","HB 144",1,10,0
"469","HB 1440",1,2,0
"470","HB 1441",0,1,0
"471","HB 1442",0.4,5,1
"472","HB 1443",0,1,0
"473","HB 1444",0,1,0
"474","HB 1445",1,2,0
"475","HB 1446",0,1,0
"476","HB 1447",0,1,0
"477","HB 1448",1,2,0
"478","HB 1449",1,16,1
"479","HB 145",0,1,0
"480","HB 1450",0,1,0
"481","HB 1451",0,1,0
"482","HB 1452",0.75,4,0
"483","HB 1453",1,1,0
"484","HB 1454",1,1,0
"485","HB 1455",0.5,2,0
"486","HB 1456",1,1,1
"487","HB 1457",0.555555555555556,9,0
"488","HB 1458",1,1,0
"489","HB 1459",1,1,0
"490","HB 146",1,1,0
"491","HB 1460",1,1,0
"492","HB 1461",1,1,0
"493","HB 1462",1,3,0
"494","HB 1463",1,8,1
"495","HB 1464",0.555555555555556,9,0
"496","HB 1465",0,1,0
"497","HB 1466",0,1,0
"498","HB 1467",1,3,0
"499","HB 1468",0.5,2,1
"500","HB 1469",1,2,1
"501","HB 147",0,1,0
"502","HB 1470",0.666666666666667,3,1
"503","HB 1471",1,1,0
"504","HB 1472",1,6,1
"505","HB 1473",0.666666666666667,6,0
"506","HB 1474",0,1,0
"507","HB 1475",0,1,0
"508","HB 1476",0,1,0
"509","HB 1477",0,1,0
"510","HB 1479",1,1,0
"511","HB 148",0.923076923076923,13,0
"512","HB 1480",0,2,1
"513","HB 1481",1,2,1
"514","HB 1482",1,1,0
"515","HB 1483",1,2,1
"516","HB 1484",0,1,0
"517","HB 1485",1,2,0
"518","HB 1486",0.461538461538462,13,1
"519","HB 1487",1,2,0
"520","HB 1488",0.5,2,0
"521","HB 1489",0,1,0
"522","HB 149",1,4,0
"523","HB 1490",0,1,0
"524","HB 1491",0,1,0
"525","HB 1492",0.6,5,1
"526","HB 1493",0,1,0
"527","HB 1494",1,2,0
