"","title","created_at","updated_at","id","chamber","state","session","type","bill_id"
"1","Relating to certain reporting requirements for law enforcement agencies and to the creation of a criminal justice web portal by the office of the attorney general; providing a civil penalty.","2016-12-28 00:23:51","2017-06-16 10:11:57","TXB00047907","lower","tx","85","bill","HB 245"
"2","Relating to the exemption from ad valorem taxation of, and the deferral or abatement of ad valorem taxes on, certain residence homesteads.","2016-12-28 00:23:52","2017-06-16 10:11:56","TXB00047950","lower","tx","85","bill","HB 150"
"3","Relating to the liability of first responders who provide roadside assistance.","2016-12-28 00:23:52","2017-06-16 10:12:07","TXB00047962","lower","tx","85","bill","HB 590"
"4","Relating to restricting access to certain information that relates to a person convicted of or granted a dismissal after deferral of disposition for a fine-only misdemeanor offense.","2016-12-28 00:23:52","2017-06-16 10:11:51","TXB00048025","lower","tx","85","bill","HB 681"
"5","Relating to a waiver for certain programs from youth camp licensing.","2016-12-28 00:23:52","2017-06-16 10:12:10","TXB00048077","lower","tx","85","bill","HB 492"
"6","Relating to the confidentiality of certain home address information in ad valorem tax appraisal records.","2016-12-28 00:23:52","2017-06-16 10:12:18","TXB00048117","lower","tx","85","bill","HB 457"
"7","Relating to the creation of a task force to identify opportunities for academic credit and industry recognition for inmates of the Texas Department of Criminal Justice.","2016-12-28 00:23:53","2017-06-16 10:11:57","TXB00048174","lower","tx","85","bill","HB 553"
"8","Designating Spurger as the Knife Capital of Texas for a 10-year period beginning in 2017.","2016-12-28 00:23:53","2017-06-16 10:12:25","TXB00048182","lower","tx","85","concurrent resolution","HCR 27"
"9","Relating to conditions of community supervision for defendants convicted of certain criminal offenses involving animals; authorizing fees.","2016-12-28 00:23:53","2017-06-17 10:14:35","TXB00048192","lower","tx","85","bill","HB 162"
"10","Relating to operation of public schools on Memorial Day.","2016-12-28 00:23:53","2017-06-16 10:12:35","TXB00048279","lower","tx","85","bill","HB 441"
"11","Relating to consideration under the public school accountability system of performance on assessment instruments by certain students formerly receiving special education services and to the placement and use of video cameras in certain self-contained classrooms or other settings providing special education services.","2016-12-28 00:23:53","2017-06-16 10:11:51","TXB00048300","lower","tx","85","bill","HB 61"
