"","last_name","updated_at","nimsp_candidate_id","full_name","+district_address","first_name","middle_name","id","state","votesmart_id","leg_id","active","transparencydata_id","photo_url","+capital_address","url","country","created_at","level","suffixes","district","party","email","nimsp_id","chamber","nickname","+birth_date"
"1","Patrick","2016-05-02 08:30:02",NA,"Dan Patrick"," 11451 Katy Fwy, Suite 209
Houston, TX 77079
(713) 464-0282","Dan","","TXL000202","tx","57986","TXL000202",TRUE,"b876eed375034c118aecde55e5404232","http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1430.jpg"," P.O. Box 12068, Capitol Station
Austin, TX 78711
(512) 463-0107","http://www.legdir.legis.state.tx.us/MemberInfo.aspx?Chamber=S&Code=A1430","us","2010-06-19 03:51:42","state","",NA,NA,NA,NA,NA,NA,NA
"2","Allen","2017-06-20 10:17:51","111820","Alma Allen"," 10101 Fondren Road,, Suite 500
Houston, TX 77096
(713) 776-0505","Alma A.","","TXL000214","tx","25503","TXL000214",TRUE,"7fc988fcb9fa47e8b9d05dfa6bcb7a33","http://www.house.state.tx.us/photos/members/2100.jpg"," P.O. Box 2910
Austin, TX 78768
(512) 463-0744","http://www.house.state.tx.us/members/member-page/?district=131","us","2010-06-19 03:51:42","state","","131","Democratic","","4031","lower",NA,NA
"3","Alonzo","2017-06-20 10:17:51","99942","Roberto Alonzo"," 312 W. 12th St., Ste. A
Dallas, TX 75208
(214) 942-7104","Roberto R.","","TXL000215","tx","5468","TXL000215",TRUE,"d4441ac0f2c2454fb92c6526a6490e01","http://www.house.state.tx.us/photos/members/2125.jpg"," P.O. Box 2910
Austin, TX 78768
(512) 463-0408","http://www.house.state.tx.us/members/member-page/?district=104","us","2010-06-19 03:51:42","state","","104","Democratic","","1149","lower",NA,NA
"4","Alvarado","2017-06-20 10:17:51","99943","Carol Alvarado"," 2900 Woodridge Dr., Suite 305
Houston, TX 77087
(713) 649-6563","Carol","","TXL000216","tx","49524","TXL000216",TRUE,"f8a3c4d4718e421c98252914a183ced8","http://www.house.state.tx.us/photos/members/2135.jpg"," P.O. Box 2910
Austin, TX 78768
(512) 463-0732","http://www.house.state.tx.us/members/member-page/?district=145","us","2010-06-19 03:51:42","state","","145","Democratic","","7037","lower",NA,NA
"5","Anchia","2017-06-20 10:17:51","111823","Rafael Anchia"," 1111 West Mockingbird Lane,, Suite 1330
Dallas, TX 75247
(214) 943-6081","Rafael","","TXL000217","tx","49874","TXL000217",TRUE,"7c299471e4414887acc94f98785a90b0","http://www.house.state.tx.us/photos/members/2150.jpg"," P.O. Box 2910
Austin, TX 78768
(512) 463-0746","http://www.house.state.tx.us/members/member-page/?district=103","us","2010-06-19 03:51:42","state","","103","Democratic","","7061","lower",NA,NA
"6","Anderson","2017-06-20 10:17:51","99944","Charles Anderson"," 900 Austin Avenue, Suite 804
Waco, TX 76701
(254) 754-3892","Charles ""Doc""","","TXL000218","tx","49739","TXL000218",TRUE,"8c979526b31342ec8a4705b61d5c068e","http://www.house.state.tx.us/photos/members/2155.jpg"," P.O. Box 2910
Austin, TX 78768
(512) 463-0135","http://www.house.state.tx.us/members/member-page/?district=56","us","2010-06-19 03:51:42","state","","56","Republican","","7055","lower","Doc",NA
"7","Bohac","2017-06-20 10:17:51","111835","Dwayne Bohac"," 2600 Gessner, Suite 212
Houston, TX 77080
(713) 460-2800","Dwayne","","TXL000221","tx","10044","TXL000221",TRUE,"085c2d93f51343ca8d1fc669d0b5c9ec","http://www.house.state.tx.us/photos/members/2230.jpg"," P.O. Box 2910
Austin, TX 78768
(512) 463-0727","http://www.house.state.tx.us/members/member-page/?district=138","us","2010-06-19 03:51:42","state","","138","Republican","","2540","lower",NA,NA
"8","Bonnen","2017-06-20 10:17:51","111837","Dennis Bonnen"," 122 East Myrtle
Angleton, TX 77515
(979) 848-1770","Dennis","","TXL000223","tx","10099","TXL000223",TRUE,"5b69814b9b0f4ea28283d7cd334ff472","http://www.house.state.tx.us/photos/members/2250.jpg"," P.O. Box 2910
Austin, TX 78768
(512) 463-0564","http://www.house.state.tx.us/members/member-page/?district=25","us","2010-06-19 03:51:42","state","","25","Republican","","2547","lower",NA,NA
"9","Button","2017-06-20 10:17:51","99955","Angie Chen Button"," 1200 E. Executive Drive,, Suite 130
Richardson, TX 75081
(972) 234-8980","Angie Chen","","TXL000228","tx","117473","TXL000228",TRUE,"f5ca5766c3e942fa88d82417a24cfed2","http://www.house.state.tx.us/photos/members/2510.jpg"," P.O. Box 2910
Austin, TX 78768
(512) 463-0486","http://www.house.state.tx.us/members/member-page/?district=112","us","2010-06-19 03:51:42","state","","112","Republican","","9282","lower",NA,NA
"10","Coleman","2017-06-20 10:17:50","99959","Garnet Coleman"," P.O. Box 88140
Houston, TX 77288
(713) 520-5355","Garnet F.","","TXL000235","tx","5479","TXL000235",TRUE,"27e300ba40f04ac4ad14b0129bccd776","http://www.house.state.tx.us/photos/members/2435.jpg"," P.O. Box 2910
Austin, TX 78768
(512) 463-0524","http://www.house.state.tx.us/members/member-page/?district=147","us","2010-06-19 03:51:42","state","","147","Democratic","","1154","lower",NA,NA
"11","Cook","2017-06-20 10:17:51","99960","Byron Cook"," P.O. Box 2910
Austin, TX 78701
(512) 463-0730","Byron","","TXL000236","tx","50125","TXL000236",TRUE,"74bb25235f034a94a79dd4b664b19299","http://www.house.state.tx.us/photos/members/2450.jpg"," P.O. Box 2910
Austin, TX 78768
(512) 463-0730","http://www.house.state.tx.us/members/member-page/?district=8","us","2010-06-19 03:51:42","state","","8","Republican","","7077","lower",NA,NA
"12","Craddick","2017-06-20 10:17:51","111875","Tom Craddick"," 500 West Texas, Suite 880
Midland, TX 79701
(432) 682-3000","Tom","","TXL000239","tx","5485","TXL000239",TRUE,"41f2908476ac48408a1df3471e9e6b51","http://www.house.state.tx.us/photos/members/2610.jpg"," P.O. Box 2910
Austin, TX 78768
(512) 463-0500","http://www.house.state.tx.us/members/member-page/?district=82","us","2010-06-19 03:51:42","state","","82","Republican","","1157","lower",NA,NA
"13","Darby","2017-06-20 10:17:51","111880","Drew Darby"," 36 West Beauregard, Suite 517
San Angelo, TX 76903
(325) 658-7313","Drew","","TXL000242","tx","49842","TXL000242",TRUE,"edfd05120ab24b60a20e49503ce87960","http://www.house.state.tx.us/photos/members/2645.jpg"," P.O. Box 2910
Austin, TX 78768
(512) 463-0331","http://www.house.state.tx.us/members/member-page/?district=72","us","2010-06-19 03:51:42","state","","72","Republican","","7059","lower",NA,NA
"14","Davis","2017-06-20 10:17:51","111884","Yvonne Davis"," 5787 S. Hampton Rd., Suite 447
Dallas, TX 75232
(214) 941-3895","Yvonne","","TXL000244","tx","5491","TXL000244",TRUE,"cc4323a2c9fd4f2785cc974eb4297908","http://www.house.state.tx.us/photos/members/2625.jpg"," P.O. Box 2910
Austin, TX 78768
(512) 463-0598","http://www.house.state.tx.us/members/member-page/?district=111","us","2010-06-19 03:51:42","state","","111","Democratic","","1158","lower",NA,NA
"15","Deshotel","2017-06-20 10:17:51","111887","Joe Deshotel"," One Plaza Square, Suite 203
Port Arthur, TX 77642
(409) 724-0788","Joe","","TXL000245","tx","25400","TXL000245",TRUE,"3f290bcfcd5d44b496ad311894a3d733","http://www.house.state.tx.us/photos/members/2690.jpg"," P.O. Box 2910
Austin, TX 78768
(512) 463-0662","http://www.house.state.tx.us/members/member-page/?district=22","us","2010-06-19 03:51:42","state","","22","Democratic","","4022","lower",NA,NA
"16","Dukes","2017-06-20 10:17:51","99973","Dawnna Dukes"," P.O. Box 2910
Austin, TX 78701
(512) 463-0506","Dawnna","","TXL000247","tx","5448","TXL000247",TRUE,"12db78b98177491386260875ac98403e","http://www.house.state.tx.us/photos/members/2665.jpg"," P.O. Box 2910
Austin, TX 78768
(512) 463-0506","http://www.house.state.tx.us/members/member-page/?district=46","us","2010-06-19 03:51:42","state","","46","Democratic","","1142","lower",NA,NA
"17","Dutton","2017-06-20 10:15:30","111894","Harold Dutton Jr."," 8799 N. Loop East, Suite 305
Houston, TX 77029
(713) 692-9192","Harold","","TXL000249","tx","5498","TXL000249",TRUE,"4fab25eb20774aa5801be7d5d7235de3","http://www.house.state.tx.us/photos/members/2650.jpg"," P.O. Box 2910
Austin, TX 78768
(512) 463-0510","http://www.house.state.tx.us/members/member-page/?district=142","us","2010-06-19 03:51:42","state","V. Jr.","142","Democratic","","1163","lower",NA,NA
"18","Elkins","2017-06-20 10:17:51","111901","Gary Elkins"," 9601 Jones Road, Suite 215
Houston, TX 77065
(832) 912-8380","Gary","","TXL000253","tx","5502","TXL000253",TRUE,"1ad2ad4dd8a44eef98074af3603b116b","http://www.house.state.tx.us/photos/members/2785.jpg"," P.O. Box 2910
Austin, TX 78768
(512) 463-0722","http://www.house.state.tx.us/members/member-page/?district=135","us","2010-06-19 03:51:42","state","","135","Republican","","1166","lower",NA,NA
"19","Farrar","2017-06-20 10:17:51","99978","Jessica Farrar"," P.O. Box 30099
Houston, TX 77249
(713) 691-6912","Jessica","","TXL000257","tx","5503","TXL000257",TRUE,"9ee23bd1f791468286a21254ebf63f03","http://www.house.state.tx.us/photos/members/2810.jpg"," P.O. Box 2910
Austin, TX 78768
(512) 463-0620","http://www.house.state.tx.us/members/member-page/?district=148","us","2010-06-19 03:51:42","state","","148","Democratic","","1167","lower",NA,NA
"20","Flynn","2017-06-20 10:17:50","111912","Dan Flynn"," P.O. Box 999
Canton, TX 75103
(903) 567-0921","Dan","","TXL000260","tx","9956","TXL000260",TRUE,"908813433b2d4d009a998cefcc3c1065","http://www.house.state.tx.us/photos/members/2850.jpg"," P.O. Box 2910
Austin, TX 78768
(512) 463-0880","http://www.house.state.tx.us/members/member-page/?district=2","us","2010-06-19 03:51:42","state","","2","Republican","","2523","lower",NA,NA
"21","Geren","2017-06-20 10:17:51","99984","Charlie Geren"," 1011 Roberts Cutoff
River Oaks, TX 76114
(817) 738-8333","Charlie","","TXL000264","tx","49376","TXL000264",TRUE,"23942fd227f84facae5d3c4997a8c9dc","http://www.house.state.tx.us/photos/members/2945.jpg"," P.O. Box 2910
Austin, TX 78768
(512) 463-0610","http://www.house.state.tx.us/members/member-page/?district=99","us","2010-06-19 03:51:42","state","","99","Republican","","7030","lower",NA,NA
"22","Giddings","2017-06-20 10:17:51","111931","Helen Giddings"," 1510 North Hampton Road, #340
DeSoto, TX 75115
(972) 224-6795","Helen","","TXL000265","tx","5506","TXL000265",TRUE,"ace57e3c0b4f4976abc19b494b6cf555","http://www.house.state.tx.us/photos/members/2935.jpg"," P.O. Box 2910
Austin, TX 78768
(512) 463-0953","http://www.house.state.tx.us/members/member-page/?district=109","us","2010-06-19 03:51:42","state","","109","Democratic","","1169","lower",NA,NA
