"","leg_id","repub"
"1","TXL000202",1
"2","TXL000214",0
"3","TXL000215",0
"4","TXL000216",0
"5","TXL000217",0
"6","TXL000218",1
"7","TXL000221",1
"8","TXL000223",1
"9","TXL000228",1
"10","TXL000235",0
"11","TXL000236",1
"12","TXL000239",1
"13","TXL000242",1
"14","TXL000244",0
"15","TXL000245",0
"16","TXL000247",0
"17","TXL000249",0
"18","TXL000253",1
"19","TXL000257",0
"20","TXL000260",1
"21","TXL000264",1
"22","TXL000265",0
"23","TXL000268",0
"24","TXL000269",0
"25","TXL000277",0
"26","TXL000278",0
"27","TXL000283",0
"28","TXL000286",1
"29","TXL000289",0
"30","TXL000294",0
"31","TXL000295",1
"32","TXL000299",1
"33","TXL000308",0
"34","TXL000317",0
"35","TXL000318",1
"36","TXL000320",0
"37","TXL000325",1
"38","TXL000329",1
"39","TXL000331",0
"40","TXL000334",0
"41","TXL000338",0
"42","TXL000344",1
"43","TXL000347",1
"44","TXL000352",0
"45","TXL000354",0
"46","TXL000359",0
"47","TXL000360",0
"48","TXL000363",1
"49","TXL000370",1
"50","TXL000373",1
"51","TXL000378",1
"52","TXL000379",1
"53","TXL000381",1
"54","TXL000385",1
"55","TXL000386",1
"56","TXL000387",1
"57","TXL000389",1
"58","TXL000391",1
"59","TXL000396",0
"60","TXL000397",1
"61","TXL000402",1
"62","TXL000404",0
"63","TXL000410",1
"64","TXL000411",1
"65","TXL000412",1
"66","TXL000415",1
"67","TXL000424",1
"68","TXL000425",1
"69","TXL000426",1
"70","TXL000428",0
"71","TXL000429",1
"72","TXL000430",1
"73","TXL000431",0
"74","TXL000433",1
"75","TXL000434",1
"76","TXL000436",1
"77","TXL000437",1
"78","TXL000438",0
"79","TXL000439",0
"80","TXL000441",1
"81","TXL000442",1
"82","TXL000443",1
"83","TXL000444",1
"84","TXL000445",1
"85","TXL000446",0
"86","TXL000449",1
"87","TXL000452",0
"88","TXL000454",1
"89","TXL000457",0
"90","TXL000458",0
"91","TXL000459",1
"92","TXL000460",1
"93","TXL000461",1
"94","TXL000462",1
"95","TXL000463",1
"96","TXL000464",1
"97","TXL000465",1
"98","TXL000466",1
"99","TXL000470",1
"100","TXL000472",0
"101","TXL000475",0
"102","TXL000480",1
"103","TXL000481",1
"104","TXL000484",1
"105","TXL000485",1
"106","TXL000490",1
"107","TXL000491",1
"108","TXL000493",1
"109","TXL000494",1
"110","TXL000495",1
"111","TXL000496",1
"112","TXL000497",0
"113","TXL000499",1
"114","TXL000500",1
"115","TXL000502",1
"116","TXL000504",1
"117","TXL000506",1
"118","TXL000507",1
"119","TXL000509",0
"120","TXL000510",1
"121","TXL000516",1
"122","TXL000517",0
"123","TXL000519",0
"124","TXL000672",0
"125","TXL000673",1
"126","TXL000675",1
"127","TXL000676",0
"128","TXL000677",1
"129","TXL000678",1
"130","TXL000679",0
"131","TXL000680",1
"132","TXL000681",1
"133","TXL000682",0
"134","TXL000683",0
"135","TXL000684",0
"136","TXL000685",1
"137","TXL000686",0
"138","TXL000687",1
"139","TXL000688",1
"140","TXL000689",1
"141","TXL000690",1
"142","TXL000691",1
"143","TXL000692",0
"144","TXL000693",1
"145","TXL000694",1
"146","TXL000695",1
"147","TXL000696",1
"148","TXL000697",1
"149","TXL000698",0
"150","TXL000699",0
"151","TXL000717",0
"152","TXL000190",1
"153","TXL000195",0
"154","TXL000196",1
"155","TXL000198",0
"156","TXL000199",1
"157","TXL000200",1
"158","TXL000203",1
"159","TXL000206",0
"160","TXL000208",0
"161","TXL000210",0
"162","TXL000211",0
"163","TXL000213",0
"164","TXL000240",1
"165","TXL000271",1
"166","TXL000297",1
"167","TXL000312",0
"168","TXL000349",1
"169","TXL000350",1
"170","TXL000364",1
"171","TXL000400",1
"172","TXL000405",1
"173","TXL000414",0
"174","TXL000419",1
"175","TXL000473",0
"176","TXL000479",1
"177","TXL000482",1
"178","TXL000487",1
"179","TXL000503",1
"180","TXL000705",1
"181","TXL000707",0
"182","TXL000716",1
