"","leg_id","type","name","committee_id","bill_id"
"1","TXL000289","primary","Johnson, Eric",NA,"HB 245"
"2","TXL000402","primary","Price",NA,"HB 245"
"3","TXL000352","primary","Thompson, Senfronia",NA,"HB 245"
"4",NA,"primary","White",NA,"HB 245"
"5","TXL000329","primary","Phillips",NA,"HB 245"
"6","TXL000211","primary","Whitmire",NA,"HB 245"
"7","TXL000425","primary","Bell",NA,"HB 150"
"8","TXL000502","primary","Metcalf",NA,"HB 150"
"9","TXL000268","primary","Guillen",NA,"HB 150"
"10","TXL000685","primary","Shine",NA,"HB 150"
"11","TXL000497","primary","Blanco",NA,"HB 150"
"12","TXL000379","cosponsor","Frullo",NA,"HB 150"
"13","TXL000672","cosponsor","Johnson, Jarvis",NA,"HB 150"
"14","TXL000485","cosponsor","Keough",NA,"HB 150"
"15",NA,"cosponsor","Miller",NA,"HB 150"
"16","TXL000684","cosponsor","Neave",NA,"HB 150"
"17","TXL000698","cosponsor","Uresti, Tomas",NA,"HB 150"
"18","TXL000240","primary","Creighton",NA,"HB 150"
"19","TXL000692","cosponsor","Hinojosa",NA,"HB 150"
"20","TXL000210","cosponsor","West",NA,"HB 150"
"21","TXL000221","primary","Bohac",NA,"HB 590"
"22","TXL000434","primary","Fallon",NA,"HB 590"
"23","TXL000463","primary","Springer",NA,"HB 590"
"24","TXL000479","primary","Huffines",NA,"HB 590"
"25","TXL000472","primary","Wu",NA,"HB 681"
"26","TXL000352","primary","Thompson, Senfronia",NA,"HB 681"
"27","TXL000317","primary","Moody",NA,"HB 681"
"28","TXL000213","primary","Zaffirini",NA,"HB 681"
"29","TXL000479","cosponsor","Huffines",NA,"HB 681"
"30","TXL000239","primary","Craddick",NA,"HB 492"
"31","TXL000400","primary","Perry",NA,"HB 492"
"32","TXL000690","primary","Holland",NA,"HB 457"
"33","TXL000481","primary","Wray",NA,"HB 457"
"34","TXL000397","primary","Murphy",NA,"HB 457"
"35",NA,"primary","Lucio III",NA,"HB 457"
"36",NA,"primary","White",NA,"HB 457"
"37","TXL000214","cosponsor","Allen",NA,"HB 457"
"38","TXL000425","cosponsor","Bell",NA,"HB 457"
"39","TXL000497","cosponsor","Blanco",NA,"HB 457"
"40","TXL000223","cosponsor","Bonnen, Dennis",NA,"HB 457"
"41","TXL000507","cosponsor","Burns",NA,"HB 457"
"42","TXL000691","cosponsor","Dean",NA,"HB 457"
"43","TXL000264","cosponsor","Geren",NA,"HB 457"
"44","TXL000268","cosponsor","Guillen",NA,"HB 457"
"45","TXL000689","cosponsor","Hefner",NA,"HB 457"
"46","TXL000692","cosponsor","Hinojosa, Gina",NA,"HB 457"
"47","TXL000289","cosponsor","Johnson, Eric",NA,"HB 457"
"48","TXL000485","cosponsor","Keough",NA,"HB 457"
"49","TXL000681","cosponsor","Lambert",NA,"HB 457"
"50","TXL000675","cosponsor","Lang",NA,"HB 457"
"51","TXL000519","cosponsor","Minjarez",NA,"HB 457"
"52","TXL000317","cosponsor","Moody",NA,"HB 457"
"53","TXL000687","cosponsor","Oliverson",NA,"HB 457"
"54","TXL000325","cosponsor","Parker",NA,"HB 457"
"55","TXL000496","cosponsor","Phelan",NA,"HB 457"
"56","TXL000402","cosponsor","Price",NA,"HB 457"
"57","TXL000334","cosponsor","Raymond",NA,"HB 457"
"58","TXL000685","cosponsor","Shine",NA,"HB 457"
"59","TXL000462","cosponsor","Simmons",NA,"HB 457"
"60","TXL000463","cosponsor","Springer",NA,"HB 457"
"61","TXL000464","cosponsor","Stephenson",NA,"HB 457"
"62","TXL000699","cosponsor","Thierry",NA,"HB 457"
"63","TXL000352","cosponsor","Thompson, Senfronia",NA,"HB 457"
"64","TXL000698","cosponsor","Uresti, Tomas",NA,"HB 457"
"65","TXL000470","cosponsor","Villalba",NA,"HB 457"
"66","TXL000190","primary","Estes",NA,"HB 457"
"67",NA,"primary","White",NA,"HB 553"
"68","TXL000458","primary","Rose",NA,"HB 553"
"69","TXL000672","primary","Johnson, Jarvis",NA,"HB 553"
"70","TXL000677","primary","Biedermann",NA,"HB 553"
"71","TXL000395","primary","Miles",NA,"HB 553"
"72","TXL000473","cosponsor","Garcia",NA,"HB 553"
"73",NA,"primary","White",NA,"HCR 27"
"74","TXL000200","primary","Nichols",NA,"HCR 27"
"75",NA,"primary","Lucio III",NA,"HB 162"
"76","TXL000312","primary","Menéndez",NA,"HB 162"
"77",NA,"primary","Martinez, ""Mando""",NA,"HB 441"
"78","TXL000717","primary","Lucio",NA,"HB 441"
"79","TXL000268","primary","Guillen",NA,"HB 61"
"80","TXL000519","cosponsor","Minjarez",NA,"HB 61"
"81","TXL000698","primary","Uresti",NA,"HB 61"
"82","TXL000463","primary","Springer",NA,"HB 210"
"83","TXL000350","primary","Taylor, Van",NA,"HB 210"
"84","TXL000389","primary","Larson",NA,"HB 298"
"85","TXL000370","cosponsor","Anderson, Rodney",NA,"HB 298"
"86","TXL000500","cosponsor","Burrows",NA,"HB 298"
"87","TXL000434","cosponsor","Fallon",NA,"HB 298"
"88","TXL000493","cosponsor","Rinaldi",NA,"HB 298"
"89","TXL000419","primary","Campbell",NA,"HB 298"
"90","TXL000370","primary","Anderson, Rodney",NA,"HB 490"
"91","TXL000378","primary","Davis, Sarah",NA,"HB 490"
"92","TXL000283","primary","Howard",NA,"HB 490"
"93","TXL000687","primary","Oliverson",NA,"HB 490"
"94","TXL000517","primary","Bernal",NA,"HB 490"
"95","TXL000218","cosponsor","Anderson, Charles ""Doc""",NA,"HB 490"
"96","TXL000425","cosponsor","Bell",NA,"HB 490"
"97","TXL000429","cosponsor","Capriglione",NA,"HB 490"
"98","TXL000242","cosponsor","Darby",NA,"HB 490"
"99","TXL000506","cosponsor","Faircloth",NA,"HB 490"
"100","TXL000386","cosponsor","Isaac",NA,"HB 490"
"101","TXL000475","cosponsor","Israel",NA,"HB 490"
"102","TXL000672","cosponsor","Johnson, Jarvis",NA,"HB 490"
"103","TXL000485","cosponsor","Keough",NA,"HB 490"
"104","TXL000502","cosponsor","Metcalf",NA,"HB 490"
"105",NA,"cosponsor","Miller",NA,"HB 490"
"106","TXL000519","cosponsor","Minjarez",NA,"HB 490"
"107",NA,"cosponsor","Muñoz, Jr.",NA,"HB 490"
"108","TXL000415","cosponsor","Raney",NA,"HB 490"
"109","TXL000688","cosponsor","Roberts",NA,"HB 490"
"110","TXL000694","cosponsor","Swanson",NA,"HB 490"
"111","TXL000466","cosponsor","Thompson, Ed",NA,"HB 490"
"112",NA,"cosponsor","White",NA,"HB 490"
"113","TXL000297","primary","Kolkhorst",NA,"HB 490"
"114","TXL000473","cosponsor","Garcia",NA,"HB 490"
"115","TXL000692","cosponsor","Hinojosa",NA,"HB 490"
"116","TXL000717","cosponsor","Lucio",NA,"HB 490"
"117","TXL000277","primary","Hernandez",NA,"HB 240"
"118","TXL000196","primary","Huffman",NA,"HB 240"
"119","TXL000472","primary","Wu",NA,"HB 678"
"120","TXL000395","primary","Miles",NA,"HB 678"
"121","TXL000442","primary","King, Ken",NA,"HB 435"
"122","TXL000693","primary","Bailes",NA,"HB 435"
"123","TXL000463","primary","Springer",NA,"HB 435"
"124","TXL000260","primary","Flynn",NA,"HB 435"
"125","TXL000223","primary","Bonnen, Dennis",NA,"HB 435"
"126","TXL000507","cosponsor","Burns",NA,"HB 435"
"127","TXL000490","cosponsor","Landgraf",NA,"HB 435"
"128","TXL000480","cosponsor","Murr",NA,"HB 435"
"129","TXL000673","cosponsor","Schubert",NA,"HB 435"
"130","TXL000400","primary","Perry",NA,"HB 435"
"131","TXL000325","primary","Parker",NA,"HB 755"
"132","TXL000199","primary","Nelson",NA,"HB 755"
"133","TXL000687","primary","Oliverson",NA,"HB 377"
"134","TXL000676","primary","Cortez",NA,"HB 377"
"135",NA,"primary","Miller",NA,"HB 377"
"136","TXL000260","primary","Flynn",NA,"HB 377"
"137","TXL000683","primary","Arévalo",NA,"HB 377"
"138","TXL000696","cosponsor","Cain",NA,"HB 377"
"139","TXL000506","cosponsor","Faircloth",NA,"HB 377"
"140","TXL000434","cosponsor","Fallon",NA,"HB 377"
"141","TXL000689","cosponsor","Hefner",NA,"HB 377"
"142","TXL000485","cosponsor","Keough",NA,"HB 377"
"143","TXL000681","cosponsor","Lambert",NA,"HB 377"
"144","TXL000446","cosponsor","Longoria",NA,"HB 377"
"145","TXL000688","cosponsor","Roberts",NA,"HB 377"
"146","TXL000685","cosponsor","Shine",NA,"HB 377"
"147","TXL000680","cosponsor","Stucky",NA,"HB 377"
"148","TXL000698","cosponsor","Uresti, Tomas",NA,"HB 377"
"149","TXL000678","cosponsor","Wilson",NA,"HB 377"
"150","TXL000412","cosponsor","Zedler",NA,"HB 377"
"151","TXL000419","primary","Campbell",NA,"HB 377"
"152","TXL000510","primary","Schofield",NA,"HB 523"
"153","TXL000434","primary","Fallon",NA,"HB 523"
"154","TXL000698","primary","Uresti, Tomas",NA,"HB 523"
"155","TXL000493","primary","Rinaldi",NA,"HB 523"
"156","TXL000485","cosponsor","Keough",NA,"HB 523"
"157","TXL000694","cosponsor","Swanson",NA,"HB 523"
"158","TXL000297","primary","Kolkhorst",NA,"HB 523"
"159","TXL000433","primary","Dale",NA,"HB 462"
"160","TXL000213","primary","Zaffirini",NA,"HB 462"
"161","TXL000425","primary","Bell",NA,"HB 297"
"162","TXL000434","primary","Fallon",NA,"HB 297"
"163","TXL000264","primary","Geren",NA,"HB 297"
"164","TXL000491","primary","Koop",NA,"HB 297"
"165","TXL000223","cosponsor","Bonnen, Dennis",NA,"HB 297"
"166",NA,"cosponsor","Miller",NA,"HB 297"
"167","TXL000466","cosponsor","Thompson, Ed",NA,"HB 297"
