state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
tx,81,lower,HB 10,TXV00000001,lower,final passage,2009-04-28 00:00:00,passage,148,0,2
tx,81,lower,HB 1007,TXV00000002,lower,final passage,2009-05-04 00:00:00,passage,93,46,11
tx,81,lower,HB 1012,TXV00000003,lower,final passage,2009-04-30 00:00:00,passage,132,0,18
tx,81,lower,HB 1013,TXV00000004,lower,final passage,2009-04-24 00:00:00,passage,140,0,10
tx,81,lower,HB 1020,TXV00000005,upper,to third reading,2009-05-20 00:00:00,other,0,0,0
tx,81,lower,HB 1020,TXV00000006,lower,final passage,2009-05-04 00:00:00,passage,143,0,7
tx,81,lower,HB 1023,TXV00000007,lower,final passage,2009-04-02 00:00:00,passage,142,0,8
tx,81,lower,HB 1029,TXV00000008,upper,to third reading,2009-05-21 00:00:00,other,0,0,0
tx,81,lower,HB 103,TXV00000009,lower,final passage,2009-05-13 00:00:00,passage,143,4,3
tx,81,lower,HB 1031,TXV00000010,lower,final passage,2009-05-06 00:00:00,passage,146,0,4
tx,81,lower,HB 1038,TXV00000011,upper,to third reading,2009-05-26 00:00:00,other,0,0,0
tx,81,lower,HB 1038,TXV00000012,lower,final passage,2009-03-31 00:00:00,passage,144,0,6
tx,81,lower,HB 1043,TXV00000013,lower,final passage,2009-04-21 00:00:00,passage,139,5,6
tx,81,lower,HB 1054,TXV00000014,lower,final passage,2009-05-04 00:00:00,passage,120,23,7
tx,81,lower,HB 1055,TXV00000015,lower,final passage,2009-05-15 00:00:00,passage,140,0,10
tx,81,lower,HB 107,TXV00000016,lower,final passage,2009-04-22 00:00:00,passage,147,0,3
tx,81,lower,HB 1079,TXV00000017,upper,to third reading,2009-05-13 00:00:00,other,0,0,0
tx,81,lower,HB 1079,TXV00000018,upper,to third reading,2009-05-13 00:00:00,,0,0,0
tx,81,lower,HB 1079,TXV00000019,lower,final passage,2009-04-07 00:00:00,passage,144,0,6
tx,81,lower,HB 108,TXV00000020,lower,final passage,2009-04-24 00:00:00,passage,141,0,9
tx,81,lower,HB 1083,TXV00000021,lower,final passage,2009-05-11 00:00:00,passage,141,0,9
tx,81,lower,HB 1084,TXV00000022,lower,final passage,2009-04-08 00:00:00,passage,146,0,4
tx,81,lower,HB 1093,TXV00000023,lower,final passage,2009-04-28 00:00:00,passage,148,0,2
tx,81,lower,HB 1109,TXV00000024,upper,to third reading,2009-05-19 00:00:00,other,0,0,0
tx,81,lower,HB 1109,TXV00000025,lower,final passage,2009-04-28 00:00:00,passage,145,0,5
tx,81,lower,HB 1134,TXV00000026,upper,to third reading,2009-05-22 00:00:00,other,0,0,0
tx,81,lower,HB 1146,TXV00000027,lower,final passage,2009-05-13 00:00:00,passage,127,17,6
tx,81,lower,HB 1148,TXV00000028,lower,final passage,2009-04-22 00:00:00,passage,147,0,3
tx,81,lower,HB 1161,TXV00000029,lower,final passage,2009-04-02 00:00:00,passage,146,0,4
tx,81,lower,HB 1162,TXV00000030,lower,final passage,2009-04-02 00:00:00,passage,146,0,4
tx,81,lower,HB 1182,TXV00000031,lower,final passage,2009-05-12 00:00:00,passage,147,0,3
tx,81,lower,HB 1187,TXV00000032,upper,to third reading,2009-05-26 00:00:00,other,0,0,0
