id,state,chamber,committee,subcommittee,parent_id
TXC000001,tx,lower,Local & Consent Calendars,,
TXC000003,tx,lower,Judiciary & Civil Jurisprudence,,
TXC000005,tx,lower,Redistricting,,
TXC000007,tx,lower,Urban Affairs,,
TXC000008,tx,lower,Rules & Resolutions,,
TXC000009,tx,lower,Ways & Means,,
TXC000010,tx,lower,Land & Resource Management,,
TXC000011,tx,lower,Higher Education,,
TXC000015,tx,lower,Human Services,,
TXC000016,tx,lower,Corrections,,
TXC000018,tx,lower,Public Health,,
TXC000019,tx,lower,Criminal Jurisprudence,,
TXC000021,tx,lower,Elections,,
TXC000022,tx,lower,State Affairs,,
TXC000024,tx,lower,Transportation,,
TXC000025,tx,lower,Natural Resources,,
TXC000027,tx,lower,Public Education,,
TXC000033,tx,lower,Insurance,,
TXC000035,tx,lower,Business & Industry,,
TXC000057,tx,lower,Calendars,,
TXC000058,tx,lower,Defense & Veterans' Affairs,,
TXC000060,tx,lower,Licensing & Administrative Procedures,,
TXC000061,tx,lower,Environmental Regulation,,
TXC000062,tx,lower,Energy Resources,,
TXC000070,tx,lower,House Administration,,
TXC000071,tx,lower,County Affairs,,
TXC000079,tx,lower,General Investigating & Ethics,,
TXC000080,tx,lower,"Culture, Recreation & Tourism",,
TXC000082,tx,lower,Appropriations,,
TXC000095,tx,lower,Homeland Security & Public Safety,,
TXC000096,tx,lower,Economic & Small Business Development,,
TXC000098,tx,lower,Agriculture & Livestock,,
TXC000149,tx,lower,Pensions,,
TXC000150,tx,lower,Special Purpose Districts,,
TXC000151,tx,lower,Investments & Financial Services,,
TXC000152,tx,lower,International Trade & Intergovernmental Affairs,,
TXC000204,tx,lower,Juvenile Justice & Family Issues,,
TXC000205,tx,lower,"Emerging Issues In Texas Law Enforcement, Select",,
TXC000206,tx,lower,Government Transparency & Operation,,
TXC000207,tx,lower,"State & Federal Power & Responsibility, Select",,
TXC000208,tx,lower,Appropriations - S/C on Article II,,
TXC000209,tx,lower,Appropriations - S/C on Budget Transparency & Reform,,
TXC000210,tx,lower,"Appropriations - S/C on Articles I, IV & V",,
TXC000211,tx,lower,"Appropriations - S/C on Articles VI, VII & VIII",,
TXC000212,tx,lower,Appropriations - S/C on Article III,,
TXC000214,tx,lower,Higher Education-S/C on Post-Secondary & Workforce Readiness,,
TXC000215,tx,lower,Public Education-S/C on Educator Quality,,
TXC000216,tx,lower,Economic & Small Business Development-S/C on Small Business,,
TXC000217,tx,lower,Natural Resources-S/C on Special Water Districts,,
TXC000218,tx,lower,Transportation-S/C on Long-term Infrastructure Planning,,
TXC000219,tx,lower,Investments & Financial Services-S/C on Bond Indebtedness,,
TXC000220,tx,lower,"Transportation Planning, Select",,
TXC000225,tx,lower,"Federal Environmental Regulation, Select",,
TXC000228,tx,lower,"Mental Health, Select",,
TXC000235,tx,lower,"State Real Property Data Collect, Report & Assess, Select",,
TXC000239,tx,lower,"Texas Ports, Innovation & Infrastructure, Select",,
TXC000029,tx,upper,Higher Education,,
TXC000030,tx,upper,Veteran Affairs & Military Installations,,
TXC000036,tx,upper,Education,,
TXC000039,tx,upper,Business & Commerce,,
TXC000040,tx,upper,Committee of the Whole Senate,,
TXC000042,tx,upper,Finance,,
TXC000044,tx,upper,Nominations,,
TXC000046,tx,upper,Intergovernmental Relations,,
TXC000049,tx,upper,State Affairs,,
TXC000050,tx,upper,Health & Human Services,,
TXC000051,tx,upper,Criminal Justice,,
TXC000103,tx,upper,Administration,,
TXC000142,tx,upper,Transportation,,
TXC000201,tx,upper,"Agriculture, Water & Rural Affairs",,
TXC000202,tx,upper,Natural Resources & Economic Development,,
TXC000203,tx,upper,Veteran Affairs & Military Installations-S/C Border Security,,
TXC000213,tx,upper,"Government Facilities, Select",,
TXC000229,tx,upper,"Property Tax Reform & Relief, Select",,
TXC000234,tx,upper,"State Real Property Data Collect, Report & Assess, Select",,
TXC000236,tx,upper,"Transportation Planning, Select",,
TXC000237,tx,upper,"Texas Ports, Select",,
TXC000238,tx,upper,Veteran Affairs & Border Security,,
